percentile,ustar_slope,intercept
1.25,2.26003625571197,0.0193879299714003
3.75,2.1151137155335653,0.0017079488978884172
6.25,1.892010227065296,-0.0026786521193657782
8.75,1.7155602853336784,-0.004258565094527472
11.25,1.5762637688513494,-0.00576295620913093
13.75,1.4589818451074341,-0.0065111658458640986
16.25,1.3636674276075595,-0.007418789881096647
18.75,1.286665477867963,-0.008976099005849454
21.25,1.2233355105265633,-0.011041027849978437
23.75,1.1685682670469544,-0.013230783346753271
26.25,1.122496863539764,-0.015918258104477213
28.75,1.0814001118920813,-0.018647649876606893
31.25,1.0459233392626637,-0.021618713882315795
33.75,1.011151568654535,-0.024159131429411857
36.25,0.9806402626940623,-0.02693140531338234
38.75,0.9526128204520329,-0.029706507563374035
41.25,0.9249414984601975,-0.032010194136189246
43.75,0.8987499029389282,-0.03418381002689076
46.25,0.8743875725243614,-0.03618721403635435
48.75,0.8515538471731122,-0.0381764459883013
51.25,0.8277795093351046,-0.03934471935714084
53.75,0.8083458099525322,-0.04122193048831739
56.25,0.7877936251557515,-0.04259774186004969
58.75,0.7711893671345504,-0.044738353284584
61.25,0.7535542217503942,-0.046147305148201
63.75,0.7373658458823772,-0.047759072970456624
66.25,0.7222676615046465,-0.04977817744814958
68.75,0.7074788987990777,-0.05171348283840107
71.25,0.6934544048275694,-0.0537822697858772
73.75,0.6812730127875315,-0.05638394514814048
76.25,0.6680614852798279,-0.058569246703467595
78.75,0.6549631564673468,-0.06099670341813802
81.25,0.6421464165657735,-0.06360991075823019
83.75,0.6269883361174141,-0.06524179243718835
86.25,0.612780286651487,-0.0678885022997065
88.75,0.5980274449735654,-0.07066195797694595
91.25,0.582706461781196,-0.07449350308214393
93.75,0.5645953400213217,-0.0783865566103723
96.25,0.5362324523792816,-0.08028157816391017
98.75,0.01643147798373089,0.32276162603123437
50,0.8395879427915272,-0.03882848827615251
